nohup: ignoring input
2025-10-09 15:09:03,554 [INFO] ================================================================================
2025-10-09 15:09:03,554 [INFO] INICIANDO TREINAMENTO DE MODELOS MLP COM DIFERENTES DESCRITORES
2025-10-09 15:09:03,554 [INFO] ================================================================================
2025-10-09 15:09:03,554 [INFO] Log global: /mnt/hdd/home/jdurao/ToolBox-ChemXAI/logs/training_20251009_150903.log
2025-10-09 15:09:03,554 [INFO] Arquivo de sumário: /mnt/hdd/home/jdurao/ToolBox-ChemXAI/logs/training_summary_20251009_150903.txt
2025-10-09 15:09:03,554 [INFO] Arquivo de resultados: /mnt/hdd/home/jdurao/ToolBox-ChemXAI/logs/training_results_20251009_150903.json
2025-10-09 15:09:03,554 [INFO] Parâmetros de treinamento:
2025-10-09 15:09:03,554 [INFO]   Épocas: 30
2025-10-09 15:09:03,554 [INFO]   Learning Rate: 0.001
2025-10-09 15:09:03,554 [INFO]   Batch Size: 32
2025-10-09 15:09:03,554 [INFO]   Descritores: ['Morgan', 'CM', 'Physicochemical', '3D', 'MACCS', 'Topological', 'AtomPair', 'EState', 'Pattern', 'Avalon', 'MorganCount', 'Autocorr']
2025-10-09 15:09:03,554 [INFO]   Propriedades: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
2025-10-09 15:09:03,554 [INFO]   Arquiteturas: {'large': [128, 64, 32]}
2025-10-09 15:09:03,555 [INFO] Total de 168 modelos a serem treinados
2025-10-09 15:09:03,555 [INFO] [1/168] Iniciando treino: MLP_att0_Morgan_large
2025-10-09 15:09:03,555 [INFO]   Propriedade: 0
2025-10-09 15:09:03,555 [INFO]   Descritor: Morgan
2025-10-09 15:09:03,555 [INFO]   Arquitetura: [128, 64, 32]
2025-10-09 15:09:03,555 [INFO]   Propriedade: Rotational constant A: GHz
2025-10-09 15:09:03,555 [INFO] Iniciando treinamento do modelo mlp_att0_Morgan
2025-10-09 15:09:03,555 [INFO] Configuração: att_index=0, epochs=30, layers=[128, 64, 32], lr=0.001, batch_size=32, descriptor_type=Morgan
2025-10-09 15:09:03,555 [INFO] Diretório para modelos: /mnt/hdd/home/jdurao/ToolBox-ChemXAI/models
2025-10-09 15:09:03,555 [INFO] Carregando dados...
Dados já existem em: /mnt/hdd/home/jdurao/ToolBox-ChemXAI/data/QM9_tabular_Data
2025-10-09 15:09:03,609 [INFO] Preparando dataloaders sem ruído...
Carregando descritores do cache: /mnt/hdd/home/jdurao/ToolBox-ChemXAI/data/descriptor_cache/Morgan_r2_b512_a0_cache.npz
2025-10-09 15:16:25,770 [INFO] Dados carregados em 442.21 segundos
2025-10-09 15:16:25,770 [INFO] Tamanhos dos conjuntos - Treino: 107108, Validação: 13388, Teste: 13389
2025-10-09 15:16:25,770 [INFO] Usando dispositivo: cuda
2025-10-09 15:16:26,304 [INFO] Dimensão de entrada: 512, Dimensão de saída: 1
2025-10-09 15:16:26,305 [INFO] Criando modelo MLP com camadas: [128, 64, 32]
2025-10-09 15:16:26,311 [INFO] Modelo criado com 76033 parâmetros
2025-10-09 15:16:26,318 [INFO] Iniciando treinamento com 30 épocas...
2025-10-09 15:16:28,267 [INFO] Época 1/30, Batch 50/3348, Loss: 0.0058
2025-10-09 15:16:28,521 [INFO] Época 1/30, Batch 100/3348, Loss: 0.0032
2025-10-09 15:16:28,775 [INFO] Época 1/30, Batch 150/3348, Loss: 0.0019
2025-10-09 15:16:29,030 [INFO] Época 1/30, Batch 200/3348, Loss: 0.0009
2025-10-09 15:16:29,290 [INFO] Época 1/30, Batch 250/3348, Loss: 0.0005
2025-10-09 15:16:29,543 [INFO] Época 1/30, Batch 300/3348, Loss: 0.0016
2025-10-09 15:16:29,784 [INFO] Época 1/30, Batch 350/3348, Loss: 0.0007
2025-10-09 15:16:30,026 [INFO] Época 1/30, Batch 400/3348, Loss: 0.0006
2025-10-09 15:16:30,269 [INFO] Época 1/30, Batch 450/3348, Loss: 0.0006
2025-10-09 15:16:30,514 [INFO] Época 1/30, Batch 500/3348, Loss: 0.0008
2025-10-09 15:16:30,769 [INFO] Época 1/30, Batch 550/3348, Loss: 0.0005
2025-10-09 15:16:31,025 [INFO] Época 1/30, Batch 600/3348, Loss: 0.0005
2025-10-09 15:16:31,282 [INFO] Época 1/30, Batch 650/3348, Loss: 0.0005
2025-10-09 15:16:31,527 [INFO] Época 1/30, Batch 700/3348, Loss: 0.0006
2025-10-09 15:16:31,772 [INFO] Época 1/30, Batch 750/3348, Loss: 0.0006
2025-10-09 15:16:32,019 [INFO] Época 1/30, Batch 800/3348, Loss: 0.0004
2025-10-09 15:16:32,265 [INFO] Época 1/30, Batch 850/3348, Loss: 0.0007
2025-10-09 15:16:32,510 [INFO] Época 1/30, Batch 900/3348, Loss: 0.0006
2025-10-09 15:16:32,759 [INFO] Época 1/30, Batch 950/3348, Loss: 0.0004
2025-10-09 15:16:33,004 [INFO] Época 1/30, Batch 1000/3348, Loss: 0.0004
2025-10-09 15:16:33,248 [INFO] Época 1/30, Batch 1050/3348, Loss: 0.0005
2025-10-09 15:16:33,493 [INFO] Época 1/30, Batch 1100/3348, Loss: 0.0006
2025-10-09 15:16:33,741 [INFO] Época 1/30, Batch 1150/3348, Loss: 0.0006
2025-10-09 15:16:33,996 [INFO] Época 1/30, Batch 1200/3348, Loss: 0.0004
2025-10-09 15:16:34,248 [INFO] Época 1/30, Batch 1250/3348, Loss: 0.0005
2025-10-09 15:16:34,509 [INFO] Época 1/30, Batch 1300/3348, Loss: 0.0004
2025-10-09 15:16:34,766 [INFO] Época 1/30, Batch 1350/3348, Loss: 0.0004
2025-10-09 15:16:35,022 [INFO] Época 1/30, Batch 1400/3348, Loss: 0.0003
2025-10-09 15:16:35,278 [INFO] Época 1/30, Batch 1450/3348, Loss: 0.0006
2025-10-09 15:16:35,535 [INFO] Época 1/30, Batch 1500/3348, Loss: 0.0003
2025-10-09 15:16:35,792 [INFO] Época 1/30, Batch 1550/3348, Loss: 0.0004
2025-10-09 15:16:36,039 [INFO] Época 1/30, Batch 1600/3348, Loss: 0.0005
2025-10-09 15:16:36,295 [INFO] Época 1/30, Batch 1650/3348, Loss: 0.0005
2025-10-09 15:16:36,549 [INFO] Época 1/30, Batch 1700/3348, Loss: 0.0007
2025-10-09 15:16:36,803 [INFO] Época 1/30, Batch 1750/3348, Loss: 0.0005
2025-10-09 15:16:37,057 [INFO] Época 1/30, Batch 1800/3348, Loss: 0.0004
2025-10-09 15:16:37,310 [INFO] Época 1/30, Batch 1850/3348, Loss: 0.0004
2025-10-09 15:16:37,557 [INFO] Época 1/30, Batch 1900/3348, Loss: 0.0005
2025-10-09 15:16:37,803 [INFO] Época 1/30, Batch 1950/3348, Loss: 0.0010
2025-10-09 15:16:38,047 [INFO] Época 1/30, Batch 2000/3348, Loss: 0.0004
2025-10-09 15:16:38,299 [INFO] Época 1/30, Batch 2050/3348, Loss: 0.0004
2025-10-09 15:16:38,547 [INFO] Época 1/30, Batch 2100/3348, Loss: 0.0005
2025-10-09 15:16:38,796 [INFO] Época 1/30, Batch 2150/3348, Loss: 0.0005
2025-10-09 15:16:39,054 [INFO] Época 1/30, Batch 2200/3348, Loss: 0.0005
2025-10-09 15:16:39,311 [INFO] Época 1/30, Batch 2250/3348, Loss: 0.0006
2025-10-09 15:16:39,569 [INFO] Época 1/30, Batch 2300/3348, Loss: 0.0004
2025-10-09 15:16:39,826 [INFO] Época 1/30, Batch 2350/3348, Loss: 0.0007
2025-10-09 15:16:40,084 [INFO] Época 1/30, Batch 2400/3348, Loss: 0.0006
2025-10-09 15:16:40,341 [INFO] Época 1/30, Batch 2450/3348, Loss: 0.0004
2025-10-09 15:16:40,596 [INFO] Época 1/30, Batch 2500/3348, Loss: 0.0008
2025-10-09 15:16:40,848 [INFO] Época 1/30, Batch 2550/3348, Loss: 0.0005
2025-10-09 15:16:41,102 [INFO] Época 1/30, Batch 2600/3348, Loss: 0.0006
2025-10-09 15:16:41,356 [INFO] Época 1/30, Batch 2650/3348, Loss: 0.0004
2025-10-09 15:16:41,608 [INFO] Época 1/30, Batch 2700/3348, Loss: 0.0004
2025-10-09 15:16:41,860 [INFO] Época 1/30, Batch 2750/3348, Loss: 0.0006
2025-10-09 15:16:42,105 [INFO] Época 1/30, Batch 2800/3348, Loss: 0.0005
2025-10-09 15:16:42,348 [INFO] Época 1/30, Batch 2850/3348, Loss: 0.0004
2025-10-09 15:16:42,592 [INFO] Época 1/30, Batch 2900/3348, Loss: 0.0003
2025-10-09 15:16:42,846 [INFO] Época 1/30, Batch 2950/3348, Loss: 0.0004
2025-10-09 15:16:43,089 [INFO] Época 1/30, Batch 3000/3348, Loss: 0.0014
